"SystemNumber"	"InfiltrationTypeName"	"SystemStorageVolume"	"StormSizeManaged"	"SystemContributingImperviousArea"	"ProjectName"	"ConstructionCompletedDate"	"CAPITStatus"
"253-3"	"Detention/Slow Release"	2120	1.02850212249848	24735	"47th St, 48th St, Wyalusing Ave (Muhammed Square)"	2013-09-09	"Closed"
"252-1"	"Detention/Slow Release"	1301	1.14870134647929	13591	"Sister Clara Muhammad School"	2013-09-09	"Closed"
"252-2"	"Detention/Slow Release"	1277	1.19569288389513	12816	"Sister Clara Muhammad School"	2013-09-09	"Closed"
"285-1"	"Detention/Slow Release"	1397	1.10021657806655	15237	"21st St from Venango to Pacific"	2012-12-06	"Closed"
"243-1"	"Detention/Slow Release"	7491	1.95078125	46080	"Womrath Park"	2012-09-27	"Closed"
"279-1"	"Infiltration"	2915	1.42531171053704	24542	"Harper's Hollow Park"	2012-12-04	"Closed"
"281-1"	"Infiltration"	1737	1.17756058979719	17701	"Wakefield Park"	2012-12-04	"Closed"
"281-2"	"Infiltration"	2710	1.54790803941168	21009	"Wakefield Park"	2012-12-04	"Closed"
"59-1"	"Infiltration"	3067	1.62246517369071	22684	"Baltimore Ave Island from S 60th St to Wharton St"	2012-11-23	"Closed"
"212-1"	"Detention/Slow Release"	2611	1.61463540324659	19405	"52nd St, 53rd St, Pine St, and Osage St (Samuel B. Huey Elementary School)"	2012-11-23	"Closed"
"212-2"	"Detention/Slow Release"	976	1.17921868707209	9932	"52nd St, 53rd St, Pine St, and Osage St (Samuel B. Huey Elementary School)"	2012-11-23	"Closed"
"212-3"	"Detention/Slow Release"	576	1.2111442088663	5707	"52nd St, 53rd St, Pine St, and Osage St (Samuel B. Huey Elementary School)"	2012-11-23	"Closed"
"214-1"	"Infiltration"	632	1.68871075484302	4491	"William Harrity School"	2012-11-23	"Closed"
"214-2"	"Infiltration"	1847	1.47142003584943	15063	"William Harrity School"	2012-11-23	"Closed"
"213-1"	"Infiltration"	878	1.50880710296434	6983	"Christian St, Webster St, 56th St (Christy Recreation Center)"	2012-11-23	"Closed"
"213-2"	"Infiltration"	1686	1.54820936639118	13068	"Christian St, Webster St, 56th St (Christy Recreation Center)"	2012-11-23	"Closed"
"213-3"	"Infiltration"	2698	1.4050863640309	23042	"Christian St, Webster St, 56th St (Christy Recreation Center)"	2012-11-23	"Closed"
"215-1"	"Detention/Slow Release"	1812	1.21760555493336	17858	"60th St, 61st St, Cedar Ave, and Hazel Ave (Bryant Elementary School)"	2012-11-23	"Closed"
"215-2"	"Detention/Slow Release"	2591	1.01115483430355	30749	"60th St, 61st St, Cedar Ave, and Hazel Ave (Bryant Elementary School)"	2012-11-23	"Closed"
"175-1"	"Detention/Slow Release"	4442	1.66056074766355	32100	"Norris St, Van Pelt St, and Berks St (Frederick Douglass Elementary School)"	2012-12-24	"Construction Complete"
"177-1"	"Detention/Slow Release"	2852.5	2.24311926605505	15260	"22nd St, Cecil B Moore Ave (Martin Luther King Recreation Center)"	2012-12-24	"Construction Complete"
"177-2"	"Infiltration"	3395	1.52128454070202	26780	"22nd St, Cecil B Moore Ave (Martin Luther King Recreation Center)"	2012-12-24	"Construction Complete"
"178-1"	"Detention/Slow Release"	2518.6	2.01891783567134	14970	"Berks, Mascher (Towey Recreation Center)"	2012-12-24	"Construction Complete"
"178-2"	"Infiltration"	1203	2.47615780445969	5830	"Berks, Mascher (Towey Recreation Center)"	2012-12-24	"Construction Complete"
"176-1"	"Infiltration"	2113.7	1.25101849568434	20275	"Philadelphia Military Academy"	2012-12-24	"Construction Complete"
"439-1"	"Infiltration"	2442.5	1.77744087325652	16490	"Park Ave"	NA	"Design 70 percent Complete"
"310-2"	"Infiltration"	1949	1.56735022114998	14922	"Eadom Parking Lot"	NA	"Closed"
"310-3"	"Infiltration"	895	2.49651324965133	4302	"Eadom Parking Lot"	NA	"Closed"
"310-4"	"Infiltration"	448	10.0485981308411	535	"Eadom Parking Lot"	NA	"Closed"
"207-2"	"Detention/Slow Release"	42.42	0.986511627906977	516	"McMahon St (Waterview Recreation Center)"	NA	"Closed"
"1-2"	"Detention/Slow Release"	1280	1.21663366336634	12625	"7th St, 8th St, and Cumberland St (Hartranft School)"	2010-11-10	"Closed"
"1-3"	"Detention/Slow Release"	576	0.729113924050633	9480	"7th St, 8th St, and Cumberland St (Hartranft School)"	2010-11-10	"Closed"
"20-2"	"Infiltration"	183	1.50514050719671	1459	"Bureau of Laboratory Services"	2011-05-14	"Closed"
"20-3"	"Infiltration"	184	1.36549165120594	1617	"Bureau of Laboratory Services"	2011-05-14	"Closed"
"20-4"	"Infiltration"	183	0.588739946380697	3730	"Bureau of Laboratory Services"	2011-05-14	"Closed"
"20-5"	"Infiltration"	183	1.5	1464	"Bureau of Laboratory Services"	2011-05-14	"Closed"
"20-6"	"Infiltration"	183	1.4908350305499	1473	"Bureau of Laboratory Services"	2011-05-14	"Closed"
"20-7"	"Infiltration"	270	0.947368421052632	3420	"Bureau of Laboratory Services"	2011-05-14	"Closed"
"20-8"	"Infiltration"	206	0.991974317817014	2492	"Bureau of Laboratory Services"	2011-05-14	"Closed"
"20-9"	"Infiltration"	1590	1.0093101988997	18904	"Bureau of Laboratory Services"	2011-05-14	"Closed"
"20-10"	"Infiltration"	1290	1.15453460620525	13408	"Bureau of Laboratory Services"	2011-05-14	"Closed"
"5-2"	"Infiltration"	741	1.06682663467307	8335	"Queen Lane from Henry St to Fox St"	2011-05-14	"Closed"
"5-3"	"Infiltration"	741	0.778633975481611	11420	"Queen Lane from Henry St to Fox St"	2011-05-14	"Closed"
"5-4"	"Infiltration"	744	0.97841095890411	9125	"Queen Lane from Henry St to Fox St"	2011-05-14	"Closed"
"5-5"	"Infiltration"	453	0.734594594594595	7400	"Queen Lane from Henry St to Fox St"	2011-05-14	"Closed"
"5-6"	"Infiltration"	480	1.73493975903614	3320	"Queen Lane from Henry St to Fox St"	2011-05-14	"Closed"
"186-2"	"Detention/Slow Release"	3687	1.75508746876116	25209	"Cliveden Park"	2007-10-01	"Closed"
"208-2"	"Infiltration"	426	0.946316179192892	5402	"Ogden St and Ramsey St (West Mill Creek Recreation Center)"	2006-01-01	"Closed"
"208-3"	"Infiltration"	48	0.444101773323053	1297	"Ogden St and Ramsey St (West Mill Creek Recreation Center)"	2006-01-01	"Closed"
"170-2"	"Infiltration"	1478	1.98834080717489	8920	"Shissler Playground"	2010-10-10	"Closed"
"46-2"	"Infiltration"	1037	4.9557945041816	2511	"Lancaster Ave from N 58th St to N 63rd St"	NA	"Closed"
"46-3"	"Infiltration"	5050	2.35467827168169	25736	"Lancaster Ave from N 58th St to N 63rd St"	NA	"Closed"
"46-4"	"Infiltration"	2297	2.10540788267644	13092	"Lancaster Ave from N 58th St to N 63rd St"	NA	"Closed"
"45-2"	"Infiltration"	852	1.19160839160839	8580	"Benjamin Franklin Parkway from 21st St to 23rd St"	NA	"Closed"
"45-3"	"Infiltration"	1698	1.89544186046512	10750	"Benjamin Franklin Parkway from 21st St to 23rd St"	NA	"Closed"
"312-1"	"Infiltration"	1125	1.14649681528662	11775	"10th St and Jefferson St (Dendy Recreation Center)"	2013-04-23	"Construction Complete"
"312-2"	"Detention/Slow Release"	1125	1.09916951636541	12282	"10th St and Jefferson St (Dendy Recreation Center)"	2013-04-23	"Construction Complete"
"245-1"	"Detention/Slow Release"	944	1.23425582915668	9178	"Diamond St from 25th St to Stillman St"	2013-04-23	"Construction Complete"
"296-1"	"Detention/Slow Release"	726	1.05702499393351	8242	"Poplar St from 8th St to Franklin St"	2013-04-23	"Construction Complete"
"157-1"	"Infiltration"	871	1.07255002565418	9745	"Wakisha Charter School"	2013-04-23	"Construction Complete"
"157-2"	"Infiltration"	1162	1.18672340425532	11750	"Wakisha Charter School"	2013-04-23	"Construction Complete"
"2-1"	"Detention/Slow Release"	1270	1.05759888965996	14410	"Welsh School"	2013-04-23	"Construction Complete"
"2-2"	"Infiltration"	799	1.06426906426906	9009	"Welsh School"	2013-04-23	"Construction Complete"
"233-1"	"Infiltration"	847	1.04246153846154	9750	"Belgrade St and Marlborough St"	2012-12-20	"Construction Complete"
"233-2"	"Infiltration"	416	1.00848484848485	4950	"Belgrade St and Marlborough St"	2012-12-20	"Construction Complete"
"8-1"	"Infiltration"	1301	0.659012241452089	23690	"Montgomery Ave, Shissler Playground"	2011-11-04	"Closed"
"8-2"	"Infiltration"	271	0.312692307692308	10400	"Montgomery Ave, Shissler Playground"	2011-11-04	"Closed"
"9-2"	"Infiltration"	756	1.40760279286268	6445	"Palmer St from Frankford Ave to Blair St (Shissler Playground)"	2010-11-10	"Closed"
"165-1"	"Infiltration"	1009	1.4345971563981	8440	"Chew Ave, Slocum St (Pleasant Playground)"	NA	NA
"192-2"	"Infiltration"	2150	3.21535393818544	8024	"Herron Playground Basketball Court"	2012-10-02	"Closed"
"13-1"	"Detention/Slow Release"	401	0.685958660014255	7015	"Madison Memorial Park"	2011-12-16	"Closed"
"207-3"	"Detention/Slow Release"	42.42	0.986511627906977	516	"McMahon St (Waterview Recreation Center)"	NA	"Closed"
"3-1"	"Detention/Slow Release"	815	0.857669034464615	11403	"Belfield Ave from Chew Ave to Walnut Ln"	2011-09-23	"Closed"
"3-2"	"Infiltration"	730	0.999771741611504	8762	"Belfield Ave from Chew Ave to Walnut Ln"	2011-09-23	"Closed"
"3-3"	"Infiltration"	1520	1.00071322762934	18227	"Belfield Ave from Chew Ave to Walnut Ln"	2011-09-23	"Closed"
"3-4"	"Infiltration"	1092	1.00145204432556	13085	"Belfield Ave from Chew Ave to Walnut Ln"	2011-09-23	"Closed"
"3-5"	"Infiltration"	1069	1.00038992435468	12823	"Belfield Ave from Chew Ave to Walnut Ln"	2011-09-23	"Closed"
"3-6"	"Infiltration"	347	0.999759903961585	4165	"Belfield Ave from Chew Ave to Walnut Ln"	2011-09-23	"Closed"
"218-1"	"Infiltration"	1885	1.58181818181818	14300	"Passyunk Ave"	2013-03-05	"Closed"
"218-2"	"Infiltration"	3662	2.1972	20000	"Passyunk Ave"	2013-03-05	"Closed"
"218-3"	"Detention/Slow Release"	5398	2.91783783783784	22200	"Passyunk Ave"	2013-03-05	"Closed"
"179-1"	"Infiltration"	1669	1.54061538461538	13000	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-2"	"Detention/Slow Release"	1669	1.44086330935252	13900	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-3"	"Infiltration"	2247	1.3727726300784	19642	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-4"	"Infiltration"	1837	1.0422695035461	21150	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-5"	"Infiltration"	3396	1.51776536312849	26850	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-6"	"Infiltration"	3413	1.47429805615551	27780	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-7"	"Infiltration"	1276	1.57855670103093	9700	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-8"	"Infiltration"	1360	1.54253308128544	10580	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-9"	"Infiltration"	1286	1.58830794565665	9716	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-10"	"Infiltration"	1315	1.578	10000	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-11"	"Infiltration"	2253	1.54712446351931	17475	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-12"	"Detention/Slow Release"	1889	1.12051408798814	20230	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-13"	"Infiltration"	1981	1.415	16800	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-14"	"Infiltration"	1600	1.48549323017408	12925	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"165-2"	"Infiltration"	1293	2.0688	7500	"Chew Ave, Slocum St (Pleasant Playground)"	NA	NA
"147-1"	"Detention/Slow Release"	1091	1.13311407304829	11554	"Woolston Ave, Walnut Ln, Rodney St (Simons Recreation Center)"	2013-05-21	"Construction Complete"
"147-2"	"Infiltration"	1237	1.59544282029235	9304	"Woolston Ave, Walnut Ln, Rodney St (Simons Recreation Center)"	2013-05-21	"Construction Complete"
"147-3"	"Infiltration"	1237	1.53030927835052	9700	"Woolston Ave, Walnut Ln, Rodney St (Simons Recreation Center)"	2013-05-21	"Construction Complete"
"147-4"	"Infiltration"	1914	1.41874112051393	16189	"Woolston Ave, Walnut Ln, Rodney St (Simons Recreation Center)"	2013-05-21	"Construction Complete"
"147-5"	"Detention/Slow Release"	1439	1.15892617449664	14900	"Woolston Ave, Walnut Ln, Rodney St (Simons Recreation Center)"	2013-05-21	"Construction Complete"
"157-3"	"Infiltration"	871	1.01308519918581	10317	"Wakisha Charter School"	2013-04-23	"Construction Complete"
"266-1"	"Infiltration"	3408	1.21569560047562	33640	"Springfield Ave and Cobbs Creek Island"	2014-01-13	"Construction Complete"
"264-1"	"Detention/Slow Release"	3585	1.2271093616293	35058	"57th St and Pentridge St (Longstreth School)"	2014-01-13	"Construction Complete"
"167-1"	"Detention/Slow Release"	2519	1.64990993941379	18321	"Little Sisters of the Poor"	2014-01-13	"Construction Complete"
"167-2"	"Detention/Slow Release"	2415	1.32680157494735	21842	"Little Sisters of the Poor"	2014-01-13	"Construction Complete"
"167-3"	"Detention/Slow Release"	3923	1.33009352131777	35393	"Little Sisters of the Poor"	2014-01-13	"Construction Complete"
"265-1"	"Detention/Slow Release"	1549	1.39225526177814	13351	"McCreesh Playground / Catharine Elementary School"	2014-01-13	"Construction Complete"
"265-2"	"Infiltration"	1325	1.89805419601289	8377	"McCreesh Playground / Catharine Elementary School"	2014-01-13	"Construction Complete"
"265-3"	"Infiltration"	2329	1.40633019674936	19873	"McCreesh Playground / Catharine Elementary School"	2014-01-13	"Construction Complete"
"265-4"	"Detention/Slow Release"	1489	1.28417421302285	13914	"McCreesh Playground / Catharine Elementary School"	2014-01-13	"Construction Complete"
"265-5"	"Infiltration"	1071	1.57964601769911	8136	"McCreesh Playground / Catharine Elementary School"	2014-01-13	"Construction Complete"
"21-1"	"Infiltration"	2189	1.01377793215237	25911	"Blue Bell Inn Triangle Park"	2013-10-31	"Closed"
"310-5"	"Infiltration"	3151	1.52856045599709	24737	"Eadom Parking Lot"	NA	"Closed"
"310-6"	"Infiltration"	1289	2.55542706096151	6053	"Eadom Parking Lot"	NA	"Closed"
"228-1"	"Infiltration"	1061	1.41466666666667	9000	"27th St from Indiana to Toronto"	2014-04-25	"Construction Complete"
"50-1"	"Detention/Slow Release"	2276	0.98563695416817	27710	"Chalmers (29th and Chalmers Playground)"	2014-04-25	"Construction Complete"
"278-1"	"Infiltration"	4386	1.36706493506494	38500	"Rosehill St (Barton School)"	2014-04-25	"Construction Complete"
"277-1"	"Detention/Slow Release"	2190	1.08797350445042	24155	"William Cramp School"	2014-04-25	"Construction Complete"
"277-2"	"Infiltration"	1352	1.30733279613215	12410	"William Cramp School"	2014-04-25	"Construction Complete"
"271-1"	"Infiltration"	1740	1.21529596647459	17181	"Bridesburg Recreation Center/Bridesburg School"	2013-09-30	"Construction Complete"
"271-2"	"Infiltration"	1000	1.19688809096349	10026	"Bridesburg Recreation Center/Bridesburg School"	2013-09-30	"Construction Complete"
"271-3"	"Infiltration"	4221	2.07326756989071	24431	"Bridesburg Recreation Center/Bridesburg School"	2013-09-30	"Construction Complete"
"273-1"	"Detention/Slow Release"	1401	1.32097116366779	12727	"Hegerman St, Magee Ave, and Hellerman St (Dorsey Playground)"	2013-09-30	"Construction Complete"
"273-2"	"Detention/Slow Release"	1175	1.22003980271697	11557	"Hegerman St, Magee Ave, and Hellerman St (Dorsey Playground)"	2013-09-30	"Construction Complete"
"273-3"	"Detention/Slow Release"	1126	1.19363957597173	11320	"Hegerman St, Magee Ave, and Hellerman St (Dorsey Playground)"	2013-09-30	"Construction Complete"
"272-1"	"Infiltration"	997	1.7299016772701	6916	"White Hall Commons/Carmella Playground/Gambrell Recreation Center/Warren G Harding School"	2013-09-30	"Construction Complete"
"272-2"	"Detention/Slow Release"	903	0.841239034236472	12881	"White Hall Commons/Carmella Playground/Gambrell Recreation Center/Warren G Harding School"	2013-09-30	"Construction Complete"
"272-3"	"Detention/Slow Release"	1172	1.11760966306421	12584	"White Hall Commons/Carmella Playground/Gambrell Recreation Center/Warren G Harding School"	2013-09-30	"Construction Complete"
"272-4"	"Infiltration"	1268	1.16669222511885	13042	"White Hall Commons/Carmella Playground/Gambrell Recreation Center/Warren G Harding School"	2013-09-30	"Construction Complete"
"272-5"	"Infiltration"	1274	1.20406395211467	12697	"White Hall Commons/Carmella Playground/Gambrell Recreation Center/Warren G Harding School"	2013-09-30	"Construction Complete"
"272-6"	"Infiltration"	1939	1.54512251809549	15059	"White Hall Commons/Carmella Playground/Gambrell Recreation Center/Warren G Harding School"	2013-09-30	"Construction Complete"
"272-7"	"Infiltration"	2191	1.71138449521578	15363	"White Hall Commons/Carmella Playground/Gambrell Recreation Center/Warren G Harding School"	2013-09-30	"Construction Complete"
"274-1"	"Detention/Slow Release"	2395	1.06420795378805	27006	"Hellerman St, Cottage St, and Levick St (Roosevelt Playground)"	2013-09-30	"Construction Complete"
"274-2"	"Detention/Slow Release"	1525	1.55771195097038	11748	"Hellerman St, Cottage St, and Levick St (Roosevelt Playground)"	2013-09-30	"Construction Complete"
"274-3"	"Detention/Slow Release"	739	1.72462077012835	5142	"Hellerman St, Cottage St, and Levick St (Roosevelt Playground)"	2013-09-30	"Construction Complete"
"274-4"	"Detention/Slow Release"	1425	1.48193084322732	11539	"Hellerman St, Cottage St, and Levick St (Roosevelt Playground)"	2013-09-30	"Construction Complete"
"275-1"	"Infiltration"	1729	1.74926228817132	11861	"Magnolia Cemetary"	2013-09-30	"Construction Complete"
"154-1"	"Infiltration"	1788	1.34943396226415	15900	"Duval St, Crittenden St, and Johnson St (Anna B. Day School)"	NA	"NTP"
"17-1"	"Detention/Slow Release"	2332	1.43507692307692	19500	"Moyamensing Ave and Morris St (Dickinson Square)"	NA	"NTP"
"79-1"	"Detention/Slow Release"	502	1.43428571428571	4200	"Jackson St, Tree St, 13th St (Epiphany of Our Lord School)"	NA	"NTP"
"81-1"	"Detention/Slow Release"	1418	1.18166666666667	14400	"8th St, Wolf St, and Mildred St (Francis Scott Key School)"	NA	"NTP"
"283-1"	"Detention/Slow Release"	1518	1.24239530759787	14662	"Alder St from Norris St to Diamond St"	2014-08-01	"Construction Complete"
"270-1"	"Detention/Slow Release"	2566	2.15856992639327	14265	"24th St and Diamond St (Dick Elementary School)"	2014-08-01	"Construction Complete"
"269-1"	"Infiltration"	1426	1.41855259885601	12063	"Parking Lot - 12th St, Marvine St, and Diamond St"	2014-08-01	"Construction Complete"
"268-1"	"Detention/Slow Release"	1686	1.05871271585557	19110	"William Gray Youth Center"	2014-08-01	"Construction Complete"
"269-2"	"Infiltration"	1602	1.545958986731	12435	"Parking Lot - 12th St, Marvine St, and Diamond St"	2014-08-01	"Construction Complete"
"154-2"	"Infiltration"	2454	1.58322580645161	18600	"Duval St, Crittenden St, and Johnson St (Anna B. Day School)"	NA	"NTP"
"154-3"	"Infiltration"	2265	1.29428571428571	21000	"Duval St, Crittenden St, and Johnson St (Anna B. Day School)"	NA	"NTP"
"154-4"	"Infiltration"	2607	1.79793103448276	17400	"Duval St, Crittenden St, and Johnson St (Anna B. Day School)"	NA	"NTP"
"17-2"	"Detention/Slow Release"	882	1.26376119402985	8375	"Moyamensing Ave and Morris St (Dickinson Square)"	NA	"NTP"
"81-2"	"Detention/Slow Release"	1388	1.68242424242424	9900	"8th St, Wolf St, and Mildred St (Francis Scott Key School)"	NA	"NTP"
"10-1"	"Infiltration"	3044	1.19372549019608	30600	"Thompson St and Columbia Ave"	2013-09-20	"Closed"
"10-2"	"Infiltration"	467	1.30174216027875	4305	"Thompson St and Columbia Ave"	2013-09-20	"Closed"
"88-1"	"Infiltration"	1744	1.06922801818832	19573	"Trenton Ave and Norris St"	2013-09-20	"Closed"
"88-2"	"Infiltration"	903	0.953034300791557	11370	"Trenton Ave and Norris St"	2013-09-20	"Closed"
"270-2"	"Detention/Slow Release"	1804	1.74524346984844	12404	"24th St and Diamond St (Dick Elementary School)"	2014-08-01	"Construction Complete"
"269-3"	"Infiltration"	1169	1.83492478744277	7645	"Parking Lot - 12th St, Marvine St, and Diamond St"	2014-08-01	"Construction Complete"
"269-4"	"Infiltration"	1222	1.7911322828875	8187	"Parking Lot - 12th St, Marvine St, and Diamond St"	2014-08-01	"Construction Complete"
"269-5"	"Detention/Slow Release"	934	1.39855253306713	8014	"Parking Lot - 12th St, Marvine St, and Diamond St"	2014-08-01	"Construction Complete"
"268-2"	"Detention/Slow Release"	1043	1.18826545143834	10533	"William Gray Youth Center"	2014-08-01	"Construction Complete"
"268-3"	"Detention/Slow Release"	635	0.819090615930345	9303	"William Gray Youth Center"	2014-08-01	"Construction Complete"
"223-1"	"Detention/Slow Release"	1194	1.25244755244755	11440	"13th St, Porter St, and Moyamensing Ave (A.S. Jenks School)"	2013-10-22	"Construction Complete"
"223-2"	"Detention/Slow Release"	1221	1.32238267148014	11080	"13th St, Porter St, and Moyamensing Ave (A.S. Jenks School)"	2013-10-22	"Construction Complete"
"227-1"	"Infiltration"	1676	1.37283276450512	14650	"St Thomas Aquinas School"	2013-10-22	"Construction Complete"
"227-2"	"Infiltration"	1180	1.08091603053435	13100	"St Thomas Aquinas School"	2013-10-22	"Construction Complete"
"227-3"	"Infiltration"	1451	1.20748959778086	14420	"St Thomas Aquinas School"	2013-10-22	"Construction Complete"
"226-1"	"Infiltration"	2645	1.33924050632911	23700	"Smith Elementary School"	2013-10-22	"Construction Complete"
"224-1"	"Infiltration"	2574	1.69295697451357	18245	"4th St, 5th St, Federal St, and Washington Ave (Sacks Playground)"	2013-10-22	"Construction Complete"
"224-2"	"Infiltration"	1430	1.49542483660131	11475	"4th St, 5th St, Federal St, and Washington Ave (Sacks Playground)"	2013-10-22	"Construction Complete"
"224-3"	"Infiltration"	1932	1.28407643312102	18055	"4th St, 5th St, Federal St, and Washington Ave (Sacks Playground)"	2013-10-22	"Construction Complete"
"19-1"	"Detention/Slow Release"	1584	0.634784931872829	29944	"18th St, 19th St, and Bigler St (Barry Playground)"	2013-10-14	"Construction Complete"
"234-1"	"Detention/Slow Release"	840	1.152	8750	"Franklin St from Diamond St to Norris St"	2013-10-24	"Construction Complete"
"234-2"	"Detention/Slow Release"	1041	0.99936	12500	"Franklin St from Diamond St to Norris St"	2013-10-24	"Construction Complete"
"234-3"	"Infiltration"	525	0.826229508196721	7625	"Franklin St from Diamond St to Norris St"	2013-10-24	"Construction Complete"
"234-4"	"Detention/Slow Release"	1638	1.1648	16875	"Franklin St from Diamond St to Norris St"	2013-10-24	"Construction Complete"
"234-5"	"Detention/Slow Release"	1915	1.36177777777778	16875	"Franklin St from Diamond St to Norris St"	2013-10-24	"Construction Complete"
"153-1"	"Infiltration"	1666	0.978800489596083	20425	"Yorktown Park"	NA	"On Hold In Design"
"153-2"	"Detention/Slow Release"	2677	1.4899814471243	21560	"Yorktown Park"	NA	"On Hold In Design"
"153-3"	"Detention/Slow Release"	1004	1.45595166163142	8275	"Yorktown Park"	NA	"On Hold In Design"
"153-4"	"Infiltration"	997	1.35954545454545	8800	"Yorktown Park"	NA	"On Hold In Design"
"153-5"	"Infiltration"	891	1.2897466827503	8290	"Yorktown Park"	NA	"On Hold In Design"
"153-6"	"Detention/Slow Release"	1327	1.46091743119266	10900	"Yorktown Park"	NA	"On Hold In Design"
"366-1"	"Infiltration"	776	1.25684977729788	7409	"Philadelphia Zoo"	2013-05-29	"Closed"
"366-2"	"Infiltration"	696	0.959228207189618	8707	"Philadelphia Zoo"	2013-05-29	"Closed"
"366-3"	"Infiltration"	365	1.54008438818565	2844	"Philadelphia Zoo"	2013-05-29	"Closed"
"366-4"	"Infiltration"	715	1.00023315458149	8578	"Philadelphia Zoo"	2013-05-29	"Closed"
"366-5"	"Infiltration"	413	1.01870503597122	4865	"Philadelphia Zoo"	2013-05-29	"Closed"
"366-6"	"Infiltration"	505	0.998846217240811	6067	"Philadelphia Zoo"	2013-05-29	"Closed"
"366-7"	"Detention/Slow Release"	849	1.6628039823731	6127	"Philadelphia Zoo"	2013-05-29	"Closed"
"366-8"	"Infiltration"	634	1.81358760429082	4195	"Philadelphia Zoo"	2013-05-29	"Closed"
"366-9"	"Infiltration"	696	1.75204531151668	4767	"Philadelphia Zoo"	2013-05-29	"Closed"
"366-10"	"Infiltration"	698	1.67052253689669	5014	"Philadelphia Zoo"	2013-05-29	"Closed"
"19-2"	"Detention/Slow Release"	2190	0.998745867061909	26313	"18th St, 19th St, and Bigler St (Barry Playground)"	2013-10-14	"Construction Complete"
"19-3"	"Detention/Slow Release"	1584	1.11976435935199	16975	"18th St, 19th St, and Bigler St (Barry Playground)"	2013-10-14	"Construction Complete"
"19-4"	"Detention/Slow Release"	2312	1.16851282483258	23743	"18th St, 19th St, and Bigler St (Barry Playground)"	2013-10-14	"Construction Complete"
"19-5"	"Infiltration"	2538	2.2741935483871	13392	"18th St, 19th St, and Bigler St (Barry Playground)"	2013-10-14	"Construction Complete"
"417-1"	"Detention/Slow Release"	2566	2.49529983792545	12340	"Stenton Avenue and Washington Lane, NE Intersection"	2014-07-08	"Construction Complete"
"403-1"	"Infiltration"	3292	1.68856593289164	23395	"George W. Nebinger School"	2013-09-08	"Construction Complete"
"403-2"	"Detention/Slow Release"	3438	1.76157130657558	23420	"George W. Nebinger School"	2013-09-08	"Construction Complete"
"445-1"	"Infiltration"	9221	2.39994794603739	46106	"Southwest Treatment Plant Parking Lot"	2014-04-13	"Closed"
"588-1"	"Infiltration"	1415	0.950727883538634	17860	"Penn Street Trail"	2013-06-13	"Closed"
"588-2"	"Infiltration"	315	0.981818181818182	3850	"Penn Street Trail"	2013-06-13	"Closed"
"517-1"	"Detention/Slow Release"	669.46	1.1755223880597	6834	"56th from Greenway to Paschall"	NA	"NTP"
"517-2"	"Infiltration"	1297.15	1.04883767940166	14841	"56th from Greenway to Paschall"	NA	"NTP"
"598-1"	"Infiltration"	69908	18.2571111449651	45949	"Eva & Summit"	2013-05-20	"Construction Complete"
"598-2"	"Infiltration"	44245	17.1514407546195	30956	"Eva & Summit"	2013-05-20	"Construction Complete"
"235-1"	"Infiltration"	419	0.830250990752972	6056	"Germantown Ave SFR - Phase 4 - Laurel to Wildey"	NA	"NTP"
"235-2"	"Infiltration"	791	1.14499396863691	8290	"Germantown Ave SFR - Phase 4 - Laurel to Wildey"	NA	"NTP"
