"SystemNumber"	"InfiltrationTypeName"	"SystemStorageVolume"	"StormSizeManaged"	"SystemContributingImperviousArea"	"ProjectName"	"ConstructionCompletedDate"	"CAPITStatus"
"280-3"	"Infiltration"	7996	1.87398929729307	51202	"Kemble Park"	2015-01-21	"Construction Complete"
"280-4"	"Infiltration"	2008	1.94322580645161	12400	"Kemble Park"	2015-01-21	"Construction Complete"
"282-1"	"Infiltration"	9158	2.80640465793304	39159	"Wister Woods Park"	2015-01-21	"Construction Complete"
"282-2"	"Infiltration"	5141	1.10193801911226	55985	"Wister Woods Park"	2015-01-21	"Construction Complete"
"282-3"	"Infiltration"	11275	2.43511752636694	55562	"Wister Woods Park"	2015-01-21	"Construction Complete"
"282-4"	"Infiltration"	9504	2.00323192580623	56932	"Wister Woods Park"	2015-01-21	"Construction Complete"
"479-1"	"Detention/Slow Release"	6686	1.46638885842746	54714	"William Dick Elementary"	2014-06-13	"Construction Complete"
"584-1"	"Detention/Slow Release"	1116.6	1.14787873907415	11673.01	"Ellsworth, 22nd, 20th, 18th"	NA	"In Projects Control"
"584-2"	"Detention/Slow Release"	1131.54	1.3670647505482	9932.58	"Ellsworth, 22nd, 20th, 18th"	NA	"In Projects Control"
"584-3"	"Detention/Slow Release"	1040.19	1.66200378675913	7510.38	"Ellsworth, 22nd, 20th, 18th"	NA	"In Projects Control"
"584-4"	"Detention/Slow Release"	1156.75	1.13942784813867	12182.43	"Ellsworth, 22nd, 20th, 18th"	NA	"In Projects Control"
"584-5"	"Detention/Slow Release"	971.19	1.0641234477721	10952	"Ellsworth, 22nd, 20th, 18th"	NA	"In Projects Control"
"597-1"	"Infiltration"	454.5	1.4544	3750	"33rd & Dauphin SEPTA Bus Stop Loop"	2013-07-31	"Closed"
"305-1"	"Detention/Slow Release"	1089	1.08151949019283	12083	"Federal St, Wharton St, Columbus Square"	NA	"In Projects Control"
"305-2"	"Detention/Slow Release"	919	1.29725914598283	8501	"Federal St, Wharton St, Columbus Square"	NA	"In Projects Control"
"524-1"	"Infiltration"	2194	5.12317571511967	5139	"Benson Park"	NA	"Bid Awarded"
"524-2"	"Infiltration"	2620	3.88196073589332	8099	"Benson Park"	NA	"Bid Awarded"
"14-1"	"Detention/Slow Release"	2032.8	1.23888268156425	19690	"12th St and Reed St (Columbus Square)"	2013-09-17	"Closed"
"250-1"	"Detention/Slow Release"	1713	1.1128796491798	18471	"Preston St, 41st St, Brown St, and Aspen St (Belmont School)"	2013-09-09	"Closed"
"250-2"	"Detention/Slow Release"	1969	1.28127541890353	18441	"Preston St, 41st St, Brown St, and Aspen St (Belmont School)"	2013-09-09	"Closed"
"250-3"	"Detention/Slow Release"	1159	1.28231606122073	10846	"Preston St, 41st St, Brown St, and Aspen St (Belmont School)"	2013-09-09	"Closed"
"251-1"	"Detention/Slow Release"	2676	1.31692913385827	24384	"49th St, Parrish St, and Ogden St (James Rhoads School)"	2013-09-09	"Closed"
"254-1"	"Infiltration"	1145	1.2656595431098	10856	"53rd St and Peach St (Mastery Charter School)"	2013-09-09	"Closed"
"254-2"	"Detention/Slow Release"	1321	1.22931368747577	12895	"53rd St and Peach St (Mastery Charter School)"	2013-09-09	"Closed"
"1011-1"	"Detention/Slow Release"	5925	3.07246877835876	23141	"JFK, 20th to 23rd Street"	NA	"NTP"
"1011-2"	"Detention/Slow Release"	4998	5.61362785473605	10684	"JFK, 20th to 23rd Street"	NA	"NTP"
"1011-3"	"Detention/Slow Release"	3688	4.49253882854533	9851	"JFK, 20th to 23rd Street"	NA	"NTP"
"1011-4"	"Detention/Slow Release"	2778.75	3.41264967761744	9771	"JFK, 20th to 23rd Street"	NA	"NTP"
"1011-5"	"Detention/Slow Release"	2679	4.04886649874055	7940	"JFK, 20th to 23rd Street"	NA	"NTP"
"1011-6"	"Detention/Slow Release"	3024	4.44433557868953	8165	"JFK, 20th to 23rd Street"	NA	"NTP"
"1011-7"	"Detention/Slow Release"	2465.25	3.14445153061224	9408	"JFK, 20th to 23rd Street"	NA	"NTP"
"1011-8"	"Detention/Slow Release"	3748.5	3.76198042987371	11957	"JFK, 20th to 23rd Street"	NA	"NTP"
"1011-9"	"Detention/Slow Release"	2660	3.75132212950993	8509	"JFK, 20th to 23rd Street"	NA	"NTP"
"1011-10"	"Detention/Slow Release"	2846.4	3.23791828609347	10549	"JFK, 20th to 23rd Street"	NA	"NTP"
"574-1"	"Detention/Slow Release"	2147	1.9	13560	"Ralph Brooks Park"	NA	"In Projects Control"
"187-1"	"Infiltration"	20	3.11688311688312	77	"Columbus Square"	2010-05-26	"Closed"
"187-2"	"Infiltration"	20	3.11688311688312	77	"Columbus Square"	2010-05-26	"Closed"
"187-3"	"Detention/Slow Release"	1021	1.58008769667269	7754	"Columbus Square"	2010-05-26	"Closed"
"155-1"	"Detention/Slow Release"	1703	1.11763740771124	18285	"John F Kennedy Blvd from 30th St to 32nd St"	NA	"On Hold In Design"
"155-2"	"Infiltration"	1318	1.0760647707171	14698	"John F Kennedy Blvd from 30th St to 32nd St"	NA	"On Hold In Design"
"155-3"	"Detention/Slow Release"	1131	1.38489795918367	9800	"John F Kennedy Blvd from 30th St to 32nd St"	NA	"On Hold In Design"
"155-4"	"Infiltration"	1406	1.41781512605042	11900	"John F Kennedy Blvd from 30th St to 32nd St"	NA	"On Hold In Design"
"155-5"	"Detention/Slow Release"	1981	1.39670975323149	17020	"John F Kennedy Blvd from 30th St to 32nd St"	NA	"On Hold In Design"
"155-6"	"Detention/Slow Release"	705	1.33860759493671	6320	"John F Kennedy Blvd from 30th St to 32nd St"	NA	"On Hold In Design"
"589-1"	"Detention/Slow Release"	1475	1.79658952496955	9852	"Stinger Square"	NA	"In Projects Control"
"589-2"	"Detention/Slow Release"	1558	1.08282173056875	17266	"Stinger Square"	NA	"In Projects Control"
"123-1"	"Infiltration"	1705	1.32	15500	"58th St Connector(Bartram's Garden, Francis Myers Rec, Cobbs Creek Park)"	2013-01-15	"Construction Complete"
"123-2"	"Infiltration"	1640	1.19272727272727	16500	"58th St Connector(Bartram's Garden, Francis Myers Rec, Cobbs Creek Park)"	2013-01-15	"Construction Complete"
"123-3"	"Infiltration"	1480	1.26857142857143	14000	"58th St Connector(Bartram's Garden, Francis Myers Rec, Cobbs Creek Park)"	2013-01-15	"Construction Complete"
"210-1"	"Detention/Slow Release"	1725	1.07320613853173	19288	"58th St, 59th St, and Walnut St (Sayre High School)"	2012-12-13	"Closed"
"210-2"	"Detention/Slow Release"	2949	1.50165492658915	23566	"58th St, 59th St, and Walnut St (Sayre High School)"	2012-12-13	"Closed"
"210-3"	"Detention/Slow Release"	2204	1.20954907161804	21866	"58th St, 59th St, and Walnut St (Sayre High School)"	2012-12-13	"Closed"
