"SMPNumber"	"SMPTypeName"	"SMPNewVegetatedArea"	"SMPFootPrint"	"InfiltrationTypeName"	"SystemStorageVolume"	"StormSizeManaged"	"SystemContributingImperviousArea"	"ProjectName"	"ConstructionCompletedDate"	"CAPITStatus"
"46-3-1"	"Rain Garden"	1082	1082	"Infiltration"	5050	2.35467827168169	25736	"Lancaster Ave from N 58th St to N 63rd St"	NA	"Closed"
"46-3-2"	"Rain Garden"	1680	1680	"Infiltration"	5050	2.35467827168169	25736	"Lancaster Ave from N 58th St to N 63rd St"	NA	"Closed"
"46-4-1"	"Rain Garden"	1472	1472	"Infiltration"	2297	2.10540788267644	13092	"Lancaster Ave from N 58th St to N 63rd St"	NA	"Closed"
"50-1-1"	"Stormwater Tree Trench"	0	2083	"Detention/Slow Release"	2276	0.98563695416817	27710	"Chalmers (29th and Chalmers Playground)"	2014-04-25	"Construction Complete"
"50-1-2"	"Stormwater Bumpout"	335	335	"Detention/Slow Release"	2276	0.98563695416817	27710	"Chalmers (29th and Chalmers Playground)"	2014-04-25	"Construction Complete"
"59-1-1"	"Stormwater Tree Trench"	0	1740	"Infiltration"	3067	1.62246517369071	22684	"Baltimore Ave Island from S 60th St to Wharton St"	2012-11-23	"Closed"
"79-1-1"	"Infiltration/Storage Trench"	0	347	"Detention/Slow Release"	502	1.43428571428571	4200	"Jackson St, Tree St, 13th St (Epiphany of Our Lord School)"	NA	"NTP"
"81-1-1"	"Stormwater Tree Trench"	0	1040	"Detention/Slow Release"	1418	1.18166666666667	14400	"8th St, Wolf St, and Mildred St (Francis Scott Key School)"	NA	"NTP"
"81-2-1"	"Infiltration/Storage Trench"	0	1133	"Detention/Slow Release"	1388	1.68242424242424	9900	"8th St, Wolf St, and Mildred St (Francis Scott Key School)"	NA	"NTP"
"88-1-1"	"Infiltration/Storage Trench"	0	760	"Infiltration"	1744	1.06922801818832	19573	"Trenton Ave and Norris St"	2013-09-20	"Closed"
"88-1-2"	"Rain Garden"	2688	2688	"Infiltration"	1744	1.06922801818832	19573	"Trenton Ave and Norris St"	2013-09-20	"Closed"
"88-2-1"	"Stormwater Tree Trench"	0	715	"Infiltration"	903	0.953034300791557	11370	"Trenton Ave and Norris St"	2013-09-20	"Closed"
"91-1-1"	"Stormwater Tree Trench"	0	855	"Detention/Slow Release"	1306.8	1.00330134357006	15630	"3rd St and Fairmount Ave Intersection"	2013-02-08	"Closed"
"91-1-2"	"Stormwater Bumpout"	150	320	"Detention/Slow Release"	1306.8	1.00330134357006	15630	"3rd St and Fairmount Ave Intersection"	2013-02-08	"Closed"
"123-1-1"	"Rain Garden"	2200	2175	"Infiltration"	1705	1.32	15500	"58th St Connector(Bartram's Garden, Francis Myers Rec, Cobbs Creek Park)"	2013-01-15	"Construction Complete"
"123-2-1"	"Stormwater Tree Trench"	0	1225	"Infiltration"	1640	1.19272727272727	16500	"58th St Connector(Bartram's Garden, Francis Myers Rec, Cobbs Creek Park)"	2013-01-15	"Construction Complete"
"123-3-1"	"Stormwater Tree Trench"	0	1200	"Infiltration"	1480	1.26857142857143	14000	"58th St Connector(Bartram's Garden, Francis Myers Rec, Cobbs Creek Park)"	2013-01-15	"Construction Complete"
"147-1-1"	"Stormwater Tree Trench"	0	929	"Detention/Slow Release"	1091	1.13311407304829	11554	"Woolston Ave, Walnut Ln, Rodney St (Simons Recreation Center)"	2013-05-21	"Construction Complete"
"147-2-1"	"Stormwater Tree Trench"	0	833	"Infiltration"	1237	1.59544282029235	9304	"Woolston Ave, Walnut Ln, Rodney St (Simons Recreation Center)"	2013-05-21	"Construction Complete"
"147-3-1"	"Stormwater Tree Trench"	0	833	"Infiltration"	1237	1.53030927835052	9700	"Woolston Ave, Walnut Ln, Rodney St (Simons Recreation Center)"	2013-05-21	"Construction Complete"
